participant_id,language_proficiency,preferred_medium,team_role,interaction_frequency,time_in_team,change_in_medium_preference,collaboration_effectiveness
1096,2,Text,Team Member,6,7,1,7.797429643891776
1097,4,Video,Team Member,43,13,1,3.810262260025091
1098,1,Text,Team Member,45,2,0,8.184753678688415
1099,4,Voice,Team Member,11,33,0,9.933803203292133
1100,2,Text,Team Member,8,7,0,9.79668676
1101,5,Voice,Team Member,29,18,1,6.626869548
1102,1,Text,Manager,10,8,1,3.752132113774506
1103,1,Text,Team Member,34,12,0,0.6548985947676267
1104,3,Text,Team Member,24,30,0,7.380406327170608
1105,3,Text,Team Member,46,9,0,9.779672411
1106,5,Video,Team Member,48,28,1,0.6798446321562812
1107,1,Text,Team Member,17,4,0,0.061677106
1108,5,Video,Team Member,32,17,0,8.317761965817175
1109,3,Text,Team Member,11,11,0,1.0225896203823714
1110,3,Text,Manager,34,2,1,0.8162298044557947
1111,1,Text,Team Member,24,23,1,9.103360682231786
1112,4,Video,Team Member,5,22,0,0.7956081167188134
1113,2,Text,Team Member,29,26,0,1.1401765477542614
1114,3,Text,Team Member,48,12,0,5.6957367526969325
1115,3,Text,Team Member,48,32,1,7.568141730332912
1116,4,Voice,Team Member,34,9,0,3.995722587142272
1117,4,Video,Team Member,16,5,0,4.205891606903904
1118,5,Video,Team Member,25,26,0,6.326259871511386
1119,5,Video,Team Member,37,7,0,5.054252948307813
1120,2,Text,Manager,8,29,0,0.18628292777717492
1121,2,Voice,Team Member,29,33,0,1.1358318627219988
1122,1,Voice,Manager,46,24,0,5.816000155254027
1123,5,Video,Team Member,25,25,0,7.936625096978661
1124,3,Voice,Team Member,42,31,0,7.631031454
1125,5,Video,Manager,23,29,0,7.400565593
1126,3,Voice,Manager,34,5,0,7.712726162
1127,4,Voice,Manager,3,11,0,0.44443476324523057
1128,5,Voice,Team Member,30,32,0,8.951015649625885
1129,4,Voice,Manager,34,8,1,8.892831052116746
1130,2,Text,Team Member,32,20,0,5.319239891
1131,2,Text,Manager,29,34,0,2.4859433226876537
1132,1,Voice,Team Member,9,8,0,5.921784727814334
1133,5,Video,Team Member,2,2,1,5.578859263752865
1134,4,Video,Team Member,39,21,0,2.2295720769021035
1135,3,Video,Manager,7,15,0,6.031301789286692
1136,2,Text,Team Member,46,6,0,7.972941161006098
1137,2,Text,Team Member,5,5,0,8.061068647452561
1138,3,Text,Team Member,8,3,1,0.5969782227991438
1139,4,Video,Team Member,32,16,0,1.9716331181246438
1140,4,Voice,Team Member,18,35,1,6.6822336059319545
1141,5,Video,Team Member,38,9,0,8.598319454143022
1142,5,Voice,Team Member,46,35,1,5.212170824492155
1143,1,Text,Team Member,18,19,0,7.075256683349805
1144,2,Text,Team Member,49,34,1,0.21072010656900564
1145,5,Video,Manager,41,10,0,6.084208118853994
1146,4,Video,Manager,45,10,0,9.619091444366017
1147,3,Voice,Manager,16,20,0,6.61014607
1148,4,Voice,Team Member,21,1,1,9.222757166003197
1149,2,Text,Team Member,10,6,0,5.660094581310737
1150,4,Video,Team Member,42,2,0,8.433787377759277
1151,1,Text,Manager,4,33,0,1.2416240825714753
1152,2,Text,Team Member,44,3,1,1.2351326288681652
1153,3,Voice,Team Member,8,13,0,1.2017932919579455
1154,1,Voice,Team Member,47,35,0,4.888495520367091
1155,2,Voice,Team Member,19,15,1,3.3026356083711503
1156,3,Video,Team Member,47,22,1,7.191858537
1157,1,Text,Team Member,40,4,0,9.026219143003972
1158,1,Text,Team Member,40,17,1,6.193748285734819
1159,2,Text,Team Member,9,5,0,2.132105560985793
1160,5,Video,Team Member,30,21,0,9.308768675291137
1161,1,Voice,Team Member,17,24,1,5.278573381379826
1162,1,Text,Team Member,40,31,1,7.199455531357552
1163,3,Video,Team Member,44,30,0,8.905058504351771
1164,4,Video,Manager,15,7,0,9.898319320989026
1165,2,Text,Team Member,4,7,0,5.0606394910167385
1166,2,Text,Team Member,6,27,1,8.080627186836738
1167,5,Video,Team Member,16,24,1,5.668670653182421
1168,5,Voice,Team Member,26,19,0,4.86453946
1169,2,Text,Team Member,37,34,1,5.3771251927628985
1170,5,Video,Team Member,23,22,0,4.842752438217042
1171,3,Voice,Team Member,13,27,0,4.210281187946806
1172,2,Text,Team Member,47,6,0,7.237206905139878
1173,5,Video,Team Member,17,10,0,2.4967581594765917
1174,2,Text,Team Member,27,31,0,6.163814658060006
1175,4,Video,Team Member,22,25,1,7.129601777644296
1176,1,Text,Manager,37,2,0,8.920908334
1177,2,Text,Team Member,19,10,0,3.318771489375857
1178,1,Text,Team Member,39,10,1,8.605991035160644
1179,5,Video,Team Member,35,26,0,9.452911713258638
1180,1,Text,Team Member,13,5,0,6.486793827417188
1181,2,Text,Team Member,14,22,0,7.714330079
1182,4,Voice,Manager,48,4,1,4.057069598188734
1183,5,Video,Team Member,31,34,0,9.521354197846927
1184,2,Text,Team Member,45,7,0,6.708614550864241
1185,5,Voice,Manager,2,17,0,3.101568086177675
1186,3,Video,Manager,46,11,1,4.0426134723402285
1187,1,Text,Team Member,39,8,0,6.177555141315762
1188,3,Text,Team Member,37,28,0,2.341351645122951
1189,2,Text,Team Member,14,33,0,7.539144043402921
1190,4,Voice,Team Member,9,25,0,2.246915162696431
1191,5,Voice,Team Member,10,21,0,5.917891957709393
1192,1,Text,Team Member,7,12,1,6.9700651299482725
1193,5,Video,Team Member,28,26,0,8.597478956615387
1194,2,Text,Team Member,46,29,1,7.339004157889332
1195,5,Voice,Team Member,25,35,1,7.988250915522849
1196,1,Text,Team Member,46,29,0,9.129318014978482
1197,2,Voice,Team Member,28,24,0,5.977715612220723
1198,5,Video,Team Member,2,15,1,8.462800106620167
1199,4,Video,Manager,17,6,1,2.3187223102517205
1200,2,Text,Manager,4,32,0,8.147331708
1201,2,Text,Team Member,13,34,0,2.2168674130648025
1202,4,Voice,Team Member,18,20,0,9.346292187427798
1203,3,Voice,Manager,3,12,0,3.299733374576687
1204,1,Text,Team Member,37,35,0,1.7183799817561285
1205,3,Text,Team Member,33,17,1,1.4816876012920188
1206,5,Video,Team Member,41,27,0,1.8727221693783236
1207,4,Video,Team Member,24,17,1,4.475403086
1208,3,Text,Team Member,8,11,0,5.221493910800589
1209,2,Text,Team Member,35,2,0,9.137858325239186
1210,5,Voice,Team Member,2,2,1,3.810148029276955
1211,5,Voice,Team Member,33,29,0,2.174823087870541
1212,3,Video,Manager,12,24,0,7.438211118393816
1213,3,Voice,Team Member,22,24,0,1.3465440792860595
1214,4,Video,Team Member,13,16,0,8.922833720151878
1215,1,Text,Manager,10,31,0,4.093996352088039
1216,3,Text,Team Member,17,9,1,6.1384148365497975
1217,3,Video,Team Member,43,27,1,1.8618434261652261
1218,2,Text,Manager,5,14,0,1.4552914907983672
1219,5,Video,Manager,9,25,1,7.988393747548556
1220,1,Text,Team Member,13,22,0,4.297022919145599
1221,2,Text,Team Member,23,35,0,9.867428127262102
1222,4,Voice,Team Member,30,33,0,5.242979444524516
1223,4,Video,Manager,43,27,0,8.456529107576896
1224,3,Voice,Team Member,4,26,0,9.799636787214352
1225,3,Text,Team Member,21,19,0,2.8115016150850156
1226,4,Video,Team Member,43,26,0,8.008817122
1227,3,Text,Team Member,9,6,0,0.220061633
1228,1,Text,Team Member,7,3,1,6.797541180610288
1229,3,Text,Team Member,16,6,1,7.452010911178494
1230,5,Video,Manager,23,28,0,4.773637124355023
1231,3,Text,Team Member,23,3,0,1.621052101
1232,2,Voice,Team Member,31,13,1,6.167205480784498
1233,1,Text,Team Member,5,13,1,8.975286594355575
1234,2,Text,Team Member,6,13,1,9.313191996
1235,2,Text,Manager,1,1,0,7.461023904196028
1236,5,Video,Team Member,48,31,0,2.637132584
1237,1,Text,Team Member,28,17,0,8.703269261
1238,1,Text,Team Member,18,9,0,8.888230667
1239,1,Voice,Manager,24,13,0,3.6724220574522057
1240,1,Voice,Team Member,13,14,1,1.8298173654368066
1241,1,Text,Team Member,33,11,1,8.746594341333683
1242,5,Video,Team Member,10,25,0,8.850973152528143
1243,3,Voice,Team Member,7,31,0,1.0090608455121408
1244,2,Text,Team Member,37,14,0,9.669842922224882
1245,1,Text,Team Member,32,7,0,5.330805530787978
1246,3,Text,Team Member,45,24,0,9.937301949429362
1247,3,Voice,Team Member,22,3,1,4.450082502166815
1248,2,Text,Team Member,16,26,0,5.332833393595481
1249,5,Voice,Team Member,24,26,1,2.660828319712456
1250,4,Video,Team Member,14,1,1,8.989474455153694
1251,4,Video,Team Member,11,15,1,4.4371211707257725
1252,3,Text,Team Member,19,11,0,8.146140536273839
1253,2,Text,Team Member,23,7,0,0.7973427509508269
1254,4,Video,Team Member,34,12,0,7.882466284948126
1255,3,Voice,Team Member,40,3,0,4.902431422514749
1256,5,Video,Team Member,13,26,0,0.054078797
1257,4,Voice,Manager,39,30,1,2.262629389987949
1258,3,Video,Team Member,44,32,1,1.9373021144311697
1259,3,Text,Team Member,28,18,1,7.517645813094398
1260,1,Text,Manager,40,1,0,4.772021897932186
1261,5,Voice,Team Member,16,21,0,1.5971839668709742
1262,1,Text,Team Member,28,28,0,2.568029770452526
1263,2,Text,Manager,4,16,0,5.040768053058848
1264,1,Text,Team Member,28,28,1,0.19638197319673867
1265,1,Text,Team Member,12,22,0,4.241255880993737
1266,4,Video,Manager,16,19,0,6.7806140365374015
1267,3,Text,Team Member,49,1,1,5.177545852858788
1268,5,Video,Team Member,36,31,0,5.980995410754987
1269,1,Text,Team Member,20,34,1,3.266181170116498
1270,5,Voice,Manager,26,6,0,1.830757240197558
1271,1,Voice,Team Member,26,28,1,8.097412904
1272,2,Text,Team Member,22,3,0,9.056348714363605
1273,1,Text,Team Member,9,31,0,5.107405703748936
1274,4,Video,Team Member,5,16,0,3.0504121258139083
1275,3,Video,Team Member,17,17,1,5.112048295179855
1276,2,Text,Manager,49,27,1,8.789855206373955
1277,1,Text,Team Member,34,24,0,6.914063473751174
1278,5,Video,Team Member,2,20,1,8.586160862901174
1279,2,Text,Team Member,7,32,1,3.2837942307805035
1280,2,Text,Team Member,36,35,0,7.119791283374958
1281,1,Text,Team Member,13,13,0,6.530489715116166
1282,2,Text,Team Member,20,20,0,5.716164606504172
1283,5,Video,Team Member,30,2,0,5.282248652305088
1284,2,Text,Manager,30,4,0,5.509778831
1285,5,Video,Team Member,11,27,0,8.496710897
1286,1,Voice,Team Member,31,25,0,9.15994501
1287,3,Text,Team Member,3,4,0,1.1286046438523822
1288,2,Text,Team Member,2,32,0,5.687715775903344
1289,3,Video,Team Member,48,17,1,9.184084224732347
1290,5,Video,Team Member,3,1,0,1.3473998515909413
1291,2,Voice,Team Member,15,33,1,4.128593732969063
1292,4,Voice,Team Member,17,30,0,0.8908017135090396
1293,3,Text,Team Member,48,5,0,1.134764020097374
1294,2,Text,Team Member,7,12,1,9.041108125595333
1295,3,Text,Manager,48,32,0,4.461795848304933
1296,2,Text,Manager,5,17,0,6.887396540045986
1297,1,Text,Team Member,34,32,0,1.3891442324353331
1298,3,Text,Manager,33,24,0,0.2194748239275579
1299,4,Video,Team Member,45,12,0,8.904839573
1300,4,Video,Manager,16,31,0,5.745456395490219
1301,5,Video,Team Member,37,19,0,0.1998775557100685
1302,2,Text,Manager,3,29,1,9.923394809
1303,3,Text,Team Member,47,21,1,4.92192383
1304,5,Video,Team Member,48,26,0,4.758765081652758
1305,3,Voice,Team Member,43,28,0,6.209141843226212
1306,2,Text,Team Member,21,17,0,0.079045342
1307,4,Voice,Team Member,41,9,1,5.691383737064401
1308,1,Text,Team Member,8,21,0,6.294839039896568
1309,4,Voice,Manager,22,34,0,2.969535681030726
1310,5,Video,Team Member,5,11,0,7.268524097682985
1311,1,Voice,Team Member,17,20,1,3.7743181621796773
1312,5,Video,Team Member,37,16,0,7.177731344581401
1313,2,Text,Manager,14,29,0,1.438251784525143
1314,1,Text,Team Member,39,1,0,9.13697816
1315,5,Voice,Team Member,41,18,0,8.794573736562603
1316,2,Text,Team Member,28,22,0,1.5062647608777058
1317,4,Video,Team Member,31,8,0,9.384539371
1318,2,Text,Team Member,17,7,1,5.577802727672739
1319,3,Video,Team Member,35,25,0,7.016496783649684
1320,2,Text,Team Member,40,30,0,8.402937923765286
1321,2,Text,Team Member,22,34,0,0.8356994708000365
1322,3,Voice,Team Member,45,11,0,1.6928435746616655
1323,5,Video,Team Member,48,15,0,2.9039092148596177
1324,5,Video,Manager,29,35,0,4.772044813870137
1325,2,Text,Team Member,10,23,0,3.4605450629874057
1326,3,Text,Team Member,18,21,0,5.0584637694205306
1327,3,Text,Team Member,35,28,1,1.8591702734373627
1328,4,Video,Team Member,44,13,0,6.821541399331647
1329,5,Video,Team Member,16,34,1,0.5573488118373116
1330,1,Text,Manager,49,6,0,3.614495062079616
1331,5,Voice,Team Member,7,4,0,1.7903324467112258
1332,5,Video,Team Member,30,5,0,7.299332718706804
1333,4,Voice,Team Member,19,6,0,8.836533388299113
1334,1,Text,Manager,23,21,1,0.787862092
1335,4,Video,Manager,8,28,1,7.850378559
1336,1,Text,Team Member,17,3,0,8.957222937221022
1337,2,Text,Team Member,21,23,0,9.739702166140551
1338,1,Text,Team Member,26,8,1,5.793862509
1339,4,Video,Team Member,28,19,1,3.2739188600740676
1340,5,Voice,Team Member,39,11,1,3.2197359986733023
1341,1,Text,Team Member,33,10,0,3.789700792944526
1342,1,Voice,Team Member,40,28,1,6.126674073276269
1343,3,Text,Manager,19,20,0,4.902300121391249
1344,5,Voice,Team Member,29,28,0,6.536350264
1345,2,Text,Manager,20,29,0,0.3931387352957616
1346,4,Voice,Team Member,20,8,0,1.0588155038111369
1347,2,Text,Team Member,10,19,0,9.765394994267611
1348,5,Video,Team Member,12,21,0,9.953855021862385
1349,1,Voice,Team Member,33,18,0,7.466588171393899
1350,1,Text,Team Member,25,9,0,2.563971501810298
1351,5,Voice,Manager,25,4,0,9.533817344005499
1352,1,Text,Team Member,4,25,0,2.1370279379170354
1353,1,Text,Manager,4,34,0,7.314313224276058
1354,1,Voice,Team Member,9,9,1,1.1525831169203882
1355,4,Voice,Team Member,15,9,0,6.489044985598341
1356,4,Video,Team Member,26,18,0,7.595150034
1357,3,Text,Team Member,15,11,1,8.596401445880826
1358,2,Text,Team Member,26,13,0,7.343061396880105
1359,5,Voice,Team Member,28,9,1,9.234853553554519
1360,5,Video,Team Member,7,16,0,5.209232579
1361,5,Video,Team Member,32,4,1,6.774286068933277
1362,3,Video,Team Member,12,34,0,3.6955008508835197
1363,4,Video,Manager,35,7,1,0.10389449289312513
1364,3,Voice,Team Member,32,15,0,7.566929554673404
1365,5,Voice,Team Member,9,11,1,8.698606478712057
1366,2,Text,Manager,14,32,0,1.7392447700972702
1367,1,Text,Team Member,13,27,0,0.2864075166529112
1368,4,Video,Team Member,44,30,0,1.6450184550146363
1369,4,Video,Manager,33,17,1,8.952892932
1370,3,Text,Team Member,32,19,0,2.955103893713298
1371,4,Video,Team Member,19,7,0,2.3370411485367173
1372,5,Video,Team Member,30,21,0,0.1458982484321636
1373,5,Video,Team Member,16,28,0,2.970551472100662
1374,3,Voice,Team Member,12,3,0,7.156390770222362
1375,5,Video,Manager,10,14,0,9.590892883762196
1376,2,Text,Team Member,2,2,1,3.127412324376333
1377,3,Voice,Team Member,18,29,0,2.406853202106932
1378,2,Text,Team Member,13,18,1,8.880690204626342
1379,1,Text,Team Member,29,24,0,8.525048508322286
1380,2,Text,Team Member,24,12,1,3.2816042014368643
1381,1,Text,Team Member,38,32,0,0.6880515375705398
1382,1,Voice,Team Member,12,18,0,9.919894404667426
1383,2,Text,Team Member,29,13,0,6.8070428746178475
1384,3,Voice,Team Member,22,4,0,9.265804970841343
1385,5,Voice,Team Member,36,23,1,3.418744743194615
1386,5,Video,Team Member,1,10,0,6.4768541908299415
1387,1,Text,Manager,43,5,1,6.744972302066127
1388,1,Text,Team Member,40,14,0,8.729054675389191
1389,3,Video,Team Member,34,34,0,9.930580371
1390,4,Video,Team Member,34,28,0,1.0866617852398663
1391,2,Voice,Team Member,48,8,0,6.3111684543043145
1392,1,Text,Team Member,33,16,0,3.3643994836258617
1393,5,Video,Team Member,4,31,1,8.116584271
1394,3,Text,Team Member,38,7,1,7.541479847464423
1395,2,Text,Team Member,30,3,0,8.925185242239138
1396,3,Voice,Manager,46,29,1,3.437028772804831
1397,2,Voice,Manager,20,4,0,1.8453034415776504
1398,2,Text,Team Member,26,9,0,0.218016772
1399,1,Text,Team Member,15,17,0,2.5550668371821117
1400,3,Video,Team Member,7,20,0,3.671715398
1401,3,Text,Team Member,7,14,0,9.460669859
1402,5,Video,Team Member,29,29,0,4.913726338472527
1403,5,Voice,Team Member,23,13,0,5.564395041087895
1404,1,Text,Team Member,34,17,0,8.801287620481148
1405,1,Text,Manager,20,4,0,8.850695137641408
1406,4,Voice,Team Member,15,20,0,5.279158266
1407,5,Voice,Team Member,33,11,0,1.1370349873333174
1408,2,Text,Team Member,17,22,0,2.7051616468122965
1409,3,Text,Team Member,20,8,1,4.568882000061222
1410,1,Text,Team Member,13,28,0,7.511694951778866
1411,3,Text,Manager,44,30,0,7.116817483291122
1412,3,Video,Team Member,24,33,1,6.427082352997653
1413,4,Voice,Manager,47,33,0,8.802455598023444
1414,5,Video,Manager,37,27,1,8.026464083071254
1415,1,Text,Team Member,7,20,0,9.821142408076303
1416,3,Video,Manager,8,33,0,8.891585209331556
1417,1,Text,Team Member,23,25,0,1.9565642784342852
1418,2,Voice,Team Member,14,19,0,0.5761656552039562
1419,4,Video,Team Member,4,21,1,4.145109440443234
1420,2,Text,Manager,21,33,0,6.175044509012791
1421,1,Voice,Team Member,46,3,1,6.431034996950392
1422,1,Voice,Team Member,10,14,0,2.6751276151835865
1423,5,Video,Team Member,22,15,1,8.598809644486703
1424,3,Text,Team Member,30,33,0,3.2924646364542696
1425,3,Text,Team Member,30,22,0,9.191146063831434
1426,2,Text,Team Member,16,1,0,4.716014013032215
1427,4,Video,Team Member,11,31,0,0.10390666041836027
1428,3,Text,Manager,22,35,1,1.6204131119474618
1429,5,Voice,Team Member,29,20,0,1.0231925665499764
1430,2,Text,Team Member,25,32,0,0.4402579580030763
1431,2,Text,Manager,14,12,0,7.140173108
1432,5,Video,Team Member,14,16,0,1.923158730604022
1433,4,Video,Team Member,2,8,0,8.386197944064861
1434,5,Video,Team Member,13,14,1,2.644688288
1435,4,Voice,Team Member,3,18,0,0.32327106490841473
1436,5,Voice,Team Member,30,30,1,8.20675344
1437,5,Voice,Team Member,18,33,1,4.661458505309871
1438,1,Voice,Team Member,36,34,1,5.995054402689939
1439,2,Text,Manager,21,34,0,3.3622728864156315
1440,5,Video,Team Member,19,7,0,0.46040396155641816
1441,5,Voice,Manager,16,6,0,3.701770891641246
1442,3,Text,Manager,28,6,1,5.182863702935721
1443,2,Text,Team Member,4,22,1,0.11686603536618545
1444,3,Text,Team Member,15,8,0,5.742900322038188
1445,2,Voice,Team Member,1,15,0,8.930421545591729
1446,3,Voice,Team Member,48,26,1,2.1784052242002625
1447,5,Video,Team Member,47,3,0,9.267691611483988
1448,5,Video,Team Member,16,10,0,0.9760851882358601
1449,1,Text,Team Member,20,3,1,8.254363502228216
1450,3,Video,Team Member,33,30,1,8.403243583021572
1451,4,Video,Team Member,17,22,1,2.577598628981389
1452,1,Voice,Team Member,5,3,0,9.578434079084673
1453,3,Text,Team Member,5,1,0,4.165987257117777
1454,3,Video,Team Member,39,33,0,1.4125608746559382
1455,1,Text,Team Member,13,19,0,5.917144508271667
1456,5,Video,Team Member,44,34,0,9.966147040452663
1457,3,Text,Team Member,36,31,1,8.992915489592944
1458,5,Video,Team Member,30,24,1,2.7860282611510243
1459,1,Voice,Team Member,4,12,0,5.769865993783756
1460,5,Video,Team Member,23,13,0,1.1536765967681661
1461,2,Text,Team Member,21,16,0,4.618448043370894
1462,4,Voice,Team Member,21,16,0,5.230700676911814
1463,3,Text,Team Member,6,20,0,3.152782983311285
1464,4,Video,Team Member,24,27,0,4.841870829370056
1465,5,Video,Team Member,47,13,0,9.199384581811735
1466,3,Text,Team Member,31,4,1,5.001376371797307
1467,5,Video,Team Member,19,32,0,8.309903105675975
1468,2,Text,Team Member,38,34,0,3.1739042916343383
1469,1,Voice,Manager,12,17,1,9.714042223724817
1470,3,Video,Team Member,14,24,0,0.9346323344518548
1471,2,Text,Team Member,12,29,1,5.855866468419892
1472,2,Text,Team Member,15,28,0,7.898877951668027
1473,3,Text,Team Member,19,22,1,8.140409863102455
1474,5,Video,Team Member,28,28,0,1.9828111078704191
1475,2,Text,Manager,40,25,0,4.016458886849862
1476,4,Video,Team Member,41,3,0,6.241961724641031
1477,2,Voice,Team Member,5,13,1,3.158827097724166
1478,5,Video,Team Member,5,31,0,6.582960152134801
1479,5,Video,Team Member,6,13,0,3.7878067131270257
1480,4,Voice,Team Member,23,18,0,3.5086632258522235
1481,2,Text,Team Member,3,34,0,1.080681714904096
1482,5,Voice,Team Member,37,17,0,0.39252878853045736
1483,3,Text,Team Member,33,21,1,8.3527379
1484,1,Voice,Manager,43,19,1,4.895444921560742
1485,1,Text,Team Member,21,12,0,5.628731332090067
1486,1,Text,Team Member,20,28,0,3.7222102252848055
1487,2,Text,Team Member,1,11,0,1.3674204547377045
1488,4,Voice,Manager,39,28,0,4.495719976912065
1489,5,Video,Team Member,47,35,0,2.289570780311687
1490,3,Text,Team Member,17,15,1,8.376830467772105
1491,3,Video,Team Member,29,16,0,9.867885380744898
1492,2,Text,Team Member,8,7,0,8.890961354758057
1493,1,Text,Team Member,26,3,1,5.2827426592563045
1494,2,Text,Team Member,28,31,0,6.2813174518204455
1495,4,Video,Manager,34,12,0,9.481225427392383
1496,4,Video,Team Member,26,8,1,5.386819335887251
1497,5,Voice,Manager,13,25,0,6.385891232915506
1498,5,Voice,Team Member,44,35,0,6.2922950374232824
1499,4,Voice,Team Member,37,12,0,7.081211518124651
1500,4,Voice,Team Member,13,21,0,6.402850995783188
1501,4,Voice,Team Member,38,26,0,6.707053980555727
1502,2,Text,Manager,25,2,0,7.258944722327982
1503,4,Video,Team Member,47,14,0,8.090992296679488
1504,3,Text,Manager,23,4,0,4.030549692630041
1505,1,Text,Team Member,22,17,1,7.458339842605782
1506,4,Video,Manager,21,5,0,1.002037591539623
1507,1,Voice,Team Member,30,24,1,8.761881322415286
1508,2,Text,Team Member,11,7,1,2.900443079091918
1509,1,Voice,Team Member,4,23,1,4.034603140872837
1510,2,Text,Manager,33,17,0,8.036104126575085
1511,3,Voice,Manager,47,12,0,6.369870380910058
1512,2,Text,Manager,12,11,0,3.0862798985116813
1513,2,Text,Team Member,9,11,1,2.253991111246403
1514,5,Video,Team Member,32,34,0,9.577144487
1515,4,Voice,Team Member,11,29,1,0.8777636103158681
1516,4,Video,Team Member,37,27,0,0.043351086
1517,3,Voice,Team Member,24,22,0,6.729349022863503
1518,3,Text,Team Member,7,2,0,6.144744270825184
1519,4,Video,Team Member,8,30,0,7.376139629517838
1520,5,Video,Team Member,33,7,0,7.3163383160904685
1521,4,Video,Manager,25,12,1,8.632591272660232
1522,5,Video,Team Member,1,3,0,9.221085904084568
1523,3,Video,Team Member,3,17,0,7.750245883
1524,1,Text,Team Member,40,32,0,2.322928016220968
1525,3,Text,Team Member,28,8,0,4.634961782989741
1526,3,Voice,Team Member,43,23,0,6.417152407
1527,2,Text,Team Member,33,30,1,5.393652688
1528,2,Text,Team Member,46,15,1,1.5889751243462469
1529,2,Voice,Team Member,1,10,1,5.892730306240457
1530,2,Text,Team Member,38,15,0,8.865286494339756
1531,5,Video,Team Member,27,30,0,4.185172232650976
1532,4,Video,Team Member,38,26,1,6.6893282443540345
1533,1,Text,Team Member,35,14,0,6.159342862763381
1534,3,Text,Team Member,10,3,0,3.770431368545161
1535,5,Video,Team Member,12,26,1,5.652712071472329
1536,1,Text,Team Member,10,14,1,2.102120339
1537,5,Voice,Team Member,34,31,0,5.461072586951875
1538,5,Voice,Manager,24,14,0,7.988295904903792
1539,3,Text,Team Member,28,10,0,7.589477695912663
1540,4,Video,Manager,22,9,0,3.5795454980707166
1541,2,Text,Team Member,45,18,0,1.1208521590650877
1542,4,Video,Team Member,16,12,0,7.99942565
1543,3,Voice,Team Member,13,3,0,2.650390894945228
1544,3,Voice,Manager,36,18,1,0.5304376721206772
1545,3,Text,Team Member,36,7,1,4.451929602160028
1546,1,Text,Team Member,43,31,0,7.394705295465476
1547,4,Video,Team Member,23,1,0,8.084933404891876
1548,4,Video,Manager,14,31,0,9.822021492219339
1549,5,Video,Team Member,32,13,0,1.8940768403012354
1550,5,Voice,Team Member,3,29,0,2.9379485046053277
1551,5,Voice,Manager,27,3,1,6.094904984794972
1552,3,Voice,Team Member,19,29,0,8.113436971160247
1553,4,Video,Team Member,22,35,0,2.3407502124249238
1554,3,Video,Team Member,1,15,0,4.099144503737592
1555,1,Text,Team Member,5,21,0,4.084006684524921
1556,5,Video,Team Member,49,19,0,7.729367330983211
1557,3,Text,Team Member,33,28,0,2.4093220567892137
1558,3,Text,Team Member,19,4,0,9.687585546959276
1559,1,Text,Team Member,36,13,0,5.104638126354624
1560,2,Text,Manager,6,15,0,2.8206683660531406
1561,4,Video,Team Member,15,32,0,2.842840597184866
1562,2,Voice,Team Member,36,3,0,0.18299986703970483
1563,5,Video,Team Member,33,30,1,6.924308908
1564,3,Voice,Team Member,24,20,0,7.759483026755978
1565,1,Text,Team Member,27,2,1,0.3242777292368959
1566,1,Text,Team Member,49,25,0,5.859345391309533
1567,4,Video,Manager,11,11,0,7.816726677704219
1568,2,Text,Team Member,49,1,0,3.7624004839100222
1569,4,Video,Team Member,23,10,0,4.327415828546897
1570,3,Voice,Team Member,33,17,0,3.616248999121402
1571,4,Voice,Manager,41,30,0,3.156507186
1572,1,Text,Team Member,46,35,1,4.911417236519208
1573,1,Voice,Manager,47,19,0,1.6610066013322455
1574,5,Voice,Team Member,29,34,0,4.406876812
1575,5,Video,Manager,31,32,0,9.418251242722054
1576,3,Text,Team Member,1,12,0,0.27402097797213254
1577,2,Text,Team Member,34,17,1,1.6474341585302876
1578,4,Video,Team Member,18,6,1,7.777023906
1579,3,Video,Team Member,18,13,0,1.3205708991371168
1580,5,Video,Team Member,6,22,0,2.712808995027455
1581,4,Voice,Team Member,40,11,1,4.548389240443558
1582,5,Video,Team Member,1,7,0,9.431622576411046
1583,4,Video,Team Member,47,21,0,1.8350118730356946
1584,2,Text,Team Member,42,1,1,9.230845940043164
1585,3,Voice,Team Member,30,30,0,7.185245127128526
1586,4,Video,Team Member,4,19,0,6.711449117
1587,1,Text,Team Member,32,29,1,7.235425241
1588,1,Text,Team Member,10,35,1,0.3124661896933745
1589,4,Video,Manager,43,20,1,0.9890026106951932
1590,4,Video,Team Member,5,1,0,3.3484152874022843
1591,4,Video,Team Member,9,23,1,0.7396753314867766
1592,1,Text,Team Member,5,31,1,9.875897095
1593,1,Voice,Team Member,11,35,1,5.8041220814517755
1594,4,Video,Team Member,35,22,0,4.873436711
1595,5,Video,Team Member,27,7,1,7.855117848990439
1596,5,Video,Team Member,4,33,0,9.769592068119898
1597,2,Text,Manager,10,7,0,9.551300000847746
1598,3,Text,Team Member,39,27,0,7.930648848
1599,5,Video,Team Member,33,2,1,3.7717423696087646
1600,1,Text,Manager,38,17,1,0.659594916
1601,5,Voice,Team Member,8,1,1,0.9837697772908116
1602,2,Text,Team Member,49,30,0,0.011523407945874808
1603,2,Voice,Team Member,24,22,0,0.019028432
1604,3,Video,Team Member,39,28,0,9.364217989
1605,5,Video,Team Member,33,33,1,9.270169692
1606,1,Text,Team Member,41,26,0,6.675537997048021
1607,1,Text,Team Member,43,35,1,7.266767242203025
1608,4,Video,Team Member,19,11,0,5.132084566500378
1609,1,Text,Manager,2,7,1,2.3784225608833243
1610,3,Voice,Team Member,11,28,0,9.143850491088092
